nickname,canonicals
BEA,BEATRIZ
BETY,BEATRIZ|ELIZABETH
BETTY,BEATRIZ|ELIZABETH
ELI,ELIZABETH|ELISA|ELIANA|ELIAS
LIZ,ELIZABETH|LIZ
LICHA,ELISA|ALICIA
CHABELI,ISABEL
MARIBEL,MARIA|MARIBEL
MARILU,MARIA
MARICEL,MARIA|MARICEL
MALU,MARIA
MARU,MARIA|MARIANA
MARIAN,MARIANA|MARIAN
YOLI,YOLANDA
YOLA,YOLANDA
LANDA,YOLANDA
IRMA,IRMA
MIRTA,MIRTA|MIRTHA
MIRTHA,MIRTA|MIRTHA
PATO,PATRICIO|PATRICIA
PATY,PATRICIA
PATRI,PATRICIA
PAT,PATRICIA|PATRICIO
NORI,NORMA|NORA
ROMI,ROMINA
ROMY,ROMINA
FLOR,FLORENCIA|FLORA|FLORINDA
FLORCHI,FLORENCIA
FIO,FIORELLA
SOL,SOL|SOLEDAD|MARISOL
SOLE,SOLEDAD
CHOLE,SOLEDAD
CHOLA,SOLEDAD
CHOLO,BARTOLOME|MANUEL
BARTO,BARTOLOME
LOURDES,LOURDES
LOUR,LOURDES
LUJAN,LUJAN
ROCHI,ROCIO
ROCI,ROCIO
CHIO,ROCIO
YESI,YESICA|YESSICA|JESSICA
YESSI,YESICA|YESSICA|JESSICA
JESSI,JESSICA
JESSY,JESSICA
YOHA,YOHANA|JOHANA
YOHI,YOHANA|JOHANA
JOHA,JOHANA|YOHANA
VERO,VERONICA
MONI,MONICA
MONA,MONICA|RAMONA
MONCHI,RAMON|MONICA
MONCHO,RAMON
RAMONCITO,RAMON
MONGO,RAMON
SILVI,SILVIA
CHIVA,SILVIA
SANTA,SANTA
NIDIA,NIDIA
LETI,LETICIA
LETY,LETICIA
LETIZIA,LETICIA
TICIA,LETICIA
MILI,MILAGROS|EMILIA|MILENA
EMI,EMILIA|EMILIO|EMILCE|EMANUEL
MELI,MELISA|MELINA
CAMI,CAMILA
MICA,MICAELA
MAKA,MACARENA
MACA,MACARENA
DEBO,DEBORA
DEBBIE,DEBORA
GRETA,MARGARITA
COQUI,JORGE
KOKI,JORGE
KOKE,JORGE
YOYA,GEORGINA|GLORIA
GEO,GEORGINA
GLO,GLORIA
CHILO,BASILIO|CIRILO
CHILA,BASILIA|CIRILA
QUELA,RAQUEL|MICAELA
RAQUE,RAQUEL
QUETA,ENRIQUETA
NN,
